"";"Huurprijs";"Woonoppervlakte";"Type.woning";"persoon.type";"Bouwjaar";"woz_value";"Stofferingstype";"Energielabel";"avg_price";"corrected_avgm2_price";"koopsom.koopjaar";"Gemeente"
"33";744;68;"apartment";"ingeschreven_natuurlijk_persoon";1960;156000;"unknown";"C";145000;2091,50326797386;2021;"Leeuwarden"
"34";1140;40;"apartment";"ingeschreven_natuurlijk_persoon";1896;685000;"furnished";"";107500;2875;2015;"Utrecht"
"35";1800;73;"apartment";"ingeschreven_natuurlijk_persoon";1963;355000;"furnished or upholstered";"D";142500;1907,8947368421;2014;"Amstelveen"
"36";1095;69;"house";"ingeschreven_natuurlijk_persoon";1939;157000;"upholstered";"F";104000;1476,74418604651;2021;"Schiedam"
"37";995;40;"apartment";"ingeschreven_niet_natuurlijk_persoon";1800;NA;"upholstered";"";100428,5714;2500;2011;"Schiedam"
"38";1495;97;"apartment";"ingeschreven_niet_natuurlijk_persoon";2006;NA;"furnished or upholstered";"A";270000;2709,18367346939;2011;"Den Haag"
"39";4500;180;"apartment";"ingeschreven_niet_natuurlijk_persoon";1900;NA;"furnished";"B";1100000;7413,79310344828;2020;"Den Haag"
"40";1295;100;"apartment";"ingeschreven_natuurlijk_persoon";1974;307000;"upholstered";"E";55795,82577;600,940170940171;1997;"Westerveld"
"41";995;69;"apartment";"ingeschreven_niet_natuurlijk_persoon";1934;NA;"furnished or upholstered";"D";264227,642276423;3857,14285714286;2021;"Arnhem"
"42";1500;50;"apartment";"ingeschreven_natuurlijk_persoon";1888;361000;"furnished or upholstered";"";192500;4000;2008;"Amsterdam"
"43";2100;100;"apartment";"ingeschreven_natuurlijk_persoon";1885;610000;"upholstered";"C";3e+05;2950;2017;"Utrecht"
"44";1650;100;"apartment";"ingeschreven_natuurlijk_persoon";2004;360000;"furnished";"C";181905;1800;2012;"Rotterdam"
"45";1050;70;"apartment";"ingeschreven_niet_natuurlijk_persoon";1934;NA;"unknown";"G";158333,3333;2284,72222222222;2020;"Eindhoven"
"46";2755;72;"apartment";"ingeschreven_natuurlijk_persoon";1925;0;"furnished";"";114954,9304;1720,58823529412;1997;"Amsterdam"
"47";3500;102;"apartment";"ingeschreven_natuurlijk_persoon";1756;1384000;"furnished";"";645000;5967,01030927835;2016;"Amsterdam"
"48";900;47;"house";"ingeschreven_natuurlijk_persoon";1935;151000;"upholstered";"F";64618,6440677966;1362,17948711538;2015;"Rotterdam"
"49";1850;110;"apartment";"ingeschreven_natuurlijk_persoon";1904;312000;"upholstered";"";245000;2213,74045801527;2018;"Rotterdam"
"50";1099;125;"house";"ingeschreven_natuurlijk_persoon";1967;271000;"shell";"B";418476,190507143;3418,80341880342;2022;"Breda"
"51";1550;115;"house";"ingeschreven_natuurlijk_persoon";1968;357000;"shell";"";222500;1873,01587301587;2016;"Eindhoven"
"52";2100;115;"apartment";"ingeschreven_natuurlijk_persoon";2004;438000;"upholstered";"A";282000;2417,39130434783;2005;"Nijmegen"
"53";480;21;"apartment";"ingeschreven_niet_natuurlijk_persoon";1910;NA;"furnished";"";122453,703725;5324,074075;2008;"Hilversum"
"54";1350;30;"apartment";"ingeschreven_natuurlijk_persoon";1965;199000;"furnished";"C";91506,4096888889;3053,43511450382;2020;"Amsterdam"
"55";2350;110;"apartment";"ingeschreven_natuurlijk_persoon";1996;557000;"furnished";"";310000;2750;2007;"Rotterdam"
"56";1150;82;"apartment";"ingeschreven_natuurlijk_persoon";1963;223000;"upholstered";"";118959,302325581;1463,41463414634;2013;"Tilburg"
"57";1450;90;"apartment";"ingeschreven_natuurlijk_persoon";1966;270000;"upholstered";"E";267500;2977,27272727273;2021;"Leidschendam-Voorburg"
"58";1750;132;"house";"ingeschreven_natuurlijk_persoon";1932;900000;"unknown";"D";426038;3308,27067669173;2019;"Amersfoort"
"59";850;55;"apartment";"ingeschreven_natuurlijk_persoon";1931;225000;"furnished or upholstered";"";23617,0212765957;490,522813368421;2007;"Noordwijk"
"60";1550;120;"house";"ingeschreven_natuurlijk_persoon";1932;347000;"upholstered";"E";290000;2361,11111111111;2019;"Eindhoven"
"61";1685;55;"house";"ingeschreven_natuurlijk_persoon";1982;426000;"furnished";"C";336000;6068,12407272727;2020;"Amsterdam"
"62";875;60;"apartment";"ingeschreven_natuurlijk_persoon";1955;233000;"upholstered";"";278673,794117647;4625;2003;"Groningen"
"63";1050;50;"apartment";"ingeschreven_natuurlijk_persoon";2013;225000;"furnished";"";270045,045045045;5300;2023;"Nijmegen"
"64";4500;205;"apartment";"ingeschreven_niet_natuurlijk_persoon";1900;NA;"furnished";"";1700000;5208,33333333333;2004;"Amstelveen"
"65";960;25;"apartment";"ingeschreven_niet_natuurlijk_persoon";1915;NA;"furnished";"";84500;3425;2021;"Hilversum"
"66";1700;75;"apartment";"ingeschreven_niet_natuurlijk_persoon";1881;NA;"furnished";"D";200227;2666,66666666667;2022;"Amsterdam"
"67";2100;105;"apartment";"ingeschreven_natuurlijk_persoon";1996;412000;"furnished";"B";192500;1743,11926605505;2014;"Rotterdam"
"68";1345;110;"apartment";"ingeschreven_natuurlijk_persoon";1981;322000;"upholstered";"C";270000;2477,27272727273;2019;"Den Haag"
"69";760;32;"apartment";"ingeschreven_natuurlijk_persoon";1933;220000;"unknown";"";24313,7254901961;612,244898;2014;"Den Bosch"
"70";1475;50;"apartment";"ingeschreven_natuurlijk_persoon";1960;194000;"upholstered";"";353000;6900;2019;"Eindhoven"
"71";875;80;"apartment";"ingeschreven_natuurlijk_persoon";1935;171000;"upholstered";"D";185000;2314,60747663551;2022;"Utrecht"
"72";1895;60;"apartment";"ingeschreven_natuurlijk_persoon";1895;547000;"upholstered";"C";496902,654867257;7100;2022;"Amsterdam"
"73";1375;70;"apartment";"ingeschreven_natuurlijk_persoon";1982;171000;"upholstered";"";155000;2152,77777777778;2020;"Maastricht"
"74";950;74;"apartment";"ingeschreven_niet_natuurlijk_persoon";1900;NA;"upholstered";"";145714,2857;1907,05128205128;2020;"Deventer"
"75";995;70;"apartment";"kadaster_natuurlijk_persoon";1964;172000;"upholstered";"";65714,28571;955,223880597015;2017;"Deventer"
"76";1195;93;"house";"ingeschreven_natuurlijk_persoon";1880;123000;"furnished or upholstered";"";100625;1093,75;2004;"Nijmegen"
"77";1850;72;"apartment";"ingeschreven_natuurlijk_persoon";1913;583000;"furnished";"";395357,142857143;6000;2017;"Amsterdam"
"78";900;85;"house";"ingeschreven_natuurlijk_persoon";1966;185000;"shell";"E";291000,2857;3435,25179856115;2021;"Geertruidenberg"
"79";2295;80;"apartment";"ingeschreven_natuurlijk_persoon";1612;537000;"furnished";"";485000;6560,12176575343;2018;"Amsterdam"
"80";1750;55;"apartment";"ingeschreven_natuurlijk_persoon";1997;460000;"furnished";"";183000;3314,81481481481;2013;"Amsterdam"
"81";978;30;"apartment";"ingeschreven_niet_natuurlijk_persoon";1915;NA;"furnished";"";81804,5112781955;2686,66666666667;2022;"Groningen"
"82";1199;85;"apartment";"ingeschreven_natuurlijk_persoon";2007;279000;"upholstered";"A";192000;2209,3023255814;2020;"Groningen"
"83";1150;88;"house";"ingeschreven_natuurlijk_persoon";1933;275000;"upholstered";"D";164250;1831,68316831683;2017;"Noordwijk"
"84";895;75;"house";"ingeschreven_natuurlijk_persoon";1905;0;"shell";"";78541,6666666667;1032,89473684211;2001;"Rotterdam"
"85";895;52;"apartment";"ingeschreven_natuurlijk_persoon";1939;163000;"upholstered";"G";1;0,0140845070422535;2021;"Rotterdam"
"86";795;70;"apartment";"ingeschreven_niet_natuurlijk_persoon";1951;NA;"shell";"D";2e+05;2852,5641025641;2022;"Den Haag"
"87";1235;50;"apartment";"ingeschreven_niet_natuurlijk_persoon";1928;NA;"unknown";"A";125000;2601,80995475113;2020;"Den Haag"
"88";775;76;"apartment";"ingeschreven_natuurlijk_persoon";1958;156000;"upholstered";"D";95000;1391,89189189189;2016;"Rotterdam"
"89";1000;45;"apartment";"ingeschreven_natuurlijk_persoon";2013;236000;"furnished or upholstered";"";108097,826086957;2509,80392156863;2013;"Nijmegen"
"90";1395;74;"house";"ingeschreven_natuurlijk_persoon";1915;286000;"furnished";"E";277000;3571,42857142857;2022;"Vlaardingen"
"91";1450;135;"apartment";"ingeschreven_natuurlijk_persoon";1985;313000;"upholstered";"B";239500;1865,67164179104;2021;"Leiden"
"92";800;36;"apartment";"ingeschreven_natuurlijk_persoon";1931;124000;"upholstered";"C";50000;1275;2011;"Hilversum"
"93";1095;80;"apartment";"ingeschreven_natuurlijk_persoon";1967;307000;"upholstered";"E";132700;1687,5;2016;"Amstelveen"
"94";645;52;"apartment";"ingeschreven_natuurlijk_persoon";1900;142000;"upholstered";"E";80000;1480,51948054545;2003;"Leiden"
"95";1895;85;"apartment";"ingeschreven_natuurlijk_persoon";2013;373000;"upholstered";"A";330810,810810811;3821,83908045977;2018;"Almere"
"96";3500;180;"house";"ingeschreven_natuurlijk_persoon";2007;813000;"upholstered";"A";404500;2298,85057471264;2017;"Sint-Michielsgestel"
"97";850;29;"apartment";"ingeschreven_natuurlijk_persoon";1850;231000;"upholstered";"";115200;3656,71641791045;2022;"Leiden"
"98";1330;80;"apartment";"ingeschreven_natuurlijk_persoon";1920;591000;"upholstered";"";261000;3343,75;2010;"Breda"
"99";985;64;"apartment";"ingeschreven_natuurlijk_persoon";1933;297000;"furnished";"D";26699,0291262136;411,775792307692;2008;"Rotterdam"
"100";1750;130;"apartment";"";2006;NA;"upholstered";"A";427950;3308,27067669173;2022;"Haarlemmermeer"
"101";1075;66;"apartment";"ingeschreven_natuurlijk_persoon";1940;250000;"upholstered";"G";162000;2369;2001;"Enschede"
"102";1095;61;"apartment";"ingeschreven_natuurlijk_persoon";1976;380000;"upholstered";"D";350000;5597,01492537313;2022;"Rotterdam"
"103";905;60;"apartment";"ingeschreven_natuurlijk_persoon";1981;200000;"upholstered";"B";238000;4058,33333333333;2021;"Rijssen-Holten"
"104";1350;59;"apartment";"ingeschreven_natuurlijk_persoon";1989;303000;"furnished or upholstered";"C";200450;3340,83333333333;2019;"Amersfoort"
"105";650;32;"apartment";"ingeschreven_natuurlijk_persoon";1929;208000;"furnished";"";16891,05666;514,723230571429;1994;"Alphen aan den Rijn"
"106";1250;50;"apartment";"ingeschreven_niet_natuurlijk_persoon";1650;NA;"furnished";"";8020,51609191781;141,992615310345;2000;"Schiedam"
"107";1500;105;"apartment";"ingeschreven_natuurlijk_persoon";1971;231000;"furnished";"";139000;1355,14018691589;2015;"Haarlem"
"108";845;74;"apartment";"ingeschreven_natuurlijk_persoon";1956;179000;"upholstered";"";278673,794117647;3783,78378378378;2003;"Den Haag"
"109";2495;91;"apartment";"ingeschreven_niet_natuurlijk_persoon";2011;NA;"furnished";"";551000;6361,11111111111;2019;"Amsterdam"
"110";650;120;"apartment";"ingeschreven_natuurlijk_persoon";1865;177000;"unknown";"F";55000;376,346153846154;2016;"Hengelo"
"111";1600;43;"apartment";"ingeschreven_niet_natuurlijk_persoon";1890;NA;"furnished";"D";375000;8404,18118536585;2021;"Amsterdam"
"112";1275;65;"apartment";"ingeschreven_natuurlijk_persoon";1896;335000;"furnished or upholstered";"";96126,7605633803;1480,26315789474;2010;"Utrecht"
"113";1400;94;"apartment";"ingeschreven_natuurlijk_persoon";1900;395000;"upholstered";"F";266000;2736,84210526316;2022;"Rijswijk"
"114";845;28;"apartment";"";1910;NA;"upholstered";"";84500;3101,33333333333;2021;"Leiden"
"115";1090;53;"apartment";"ingeschreven_natuurlijk_persoon";1800;209000;"upholstered";"C";98214,2857142857;1862,74509803922;2016;"Leiden"
"116";1300;100;"apartment";"ingeschreven_niet_natuurlijk_persoon";1903;NA;"upholstered";"D";138999,806152239;1418,36734693878;2016;"Leeuwarden"
"117";1400;60;"house";"ingeschreven_natuurlijk_persoon";1987;292000;"furnished";"C";190000;3114,75409836066;2018;"Gouda"
"118";2450;59;"apartment";"ingeschreven_natuurlijk_persoon";1930;650000;"furnished or upholstered";"E";875000;13636,3636363636;2019;"Amsterdam"
"119";2350;95;"apartment";"ingeschreven_natuurlijk_persoon";2015;565000;"furnished";"A";231247;2396,3963963964;2016;"Den Haag"
"120";1950;126;"apartment";"ingeschreven_natuurlijk_persoon";1931;383000;"furnished";"E";182500;1382,97872340426;2005;"Den Haag"
"121";895;79;"house";"ingeschreven_natuurlijk_persoon";1928;180000;"upholstered";"F";126000;1569,76744186047;2019;"Groningen"
"122";2250;127;"house";"ingeschreven_natuurlijk_persoon";1990;603000;"furnished";"";316500;2580,64516129032;2011;"Amstelveen"
"123";1195;101;"house";"ingeschreven_niet_natuurlijk_persoon";1991;NA;"upholstered";"";183000;1666,66666666667;2021;"Goeree-Overflakkee"
"124";1375;45;"apartment";"ingeschreven_natuurlijk_persoon";1982;266000;"upholstered";"";57403;1160,32456140351;2016;"Breda"
"125";1150;74;"apartment";"ingeschreven_natuurlijk_persoon";1959;270000;"upholstered";"D";165000;2200;2019;"Groningen"
"126";1495;65;"apartment";"ingeschreven_natuurlijk_persoon";2013;422000;"upholstered";"A";320000;4428,57142857143;2019;"Oegstgeest"
"127";700;70;"apartment";"ingeschreven_natuurlijk_persoon";1965;243000;"upholstered";"";111111,111111111;1588,23529411765;2010;"Tilburg"
"128";1250;122;"house";"ingeschreven_niet_natuurlijk_persoon";2021;NA;"upholstered";"A";130500;950,413223140496;2016;"Apeldoorn"
"129";1400;75;"apartment";"";1900;NA;"upholstered";"A";27777,77778;362,646427954545;1998;"Nijmegen"
"130";1850;200;"apartment";"ingeschreven_natuurlijk_persoon";1952;393000;"upholstered";"D";205000;863,636363636364;2009;"Nijmegen"
"131";800;86;"apartment";"ingeschreven_natuurlijk_persoon";1981;155000;"upholstered";"C";175000;1938,77551020408;2022;"Sittard-Geleen"
"132";900;56;"apartment";"ingeschreven_natuurlijk_persoon";1897;240000;"upholstered";"";2e+05;3433,33333333333;2006;"Utrecht"
"133";2100;91;"house";"ingeschreven_natuurlijk_persoon";1900;356000;"furnished";"F";287205,882352941;3111,11111111111;2016;"Groningen"
"134";1150;47;"apartment";"ingeschreven_niet_natuurlijk_persoon";1906;NA;"upholstered";"";13725,95281;280,758125636364;1996;"Rotterdam"
"135";1250;68;"apartment";"ingeschreven_natuurlijk_persoon";1993;292000;"upholstered";"";135000;2000;2016;"Purmerend"
"136";1250;38;"apartment";"ingeschreven_natuurlijk_persoon";1905;179000;"furnished";"";35122,3043647059;1041,66666666667;2009;"Groningen"
"137";2000;87;"apartment";"ingeschreven_niet_natuurlijk_persoon";1964;NA;"upholstered";"E";106250;1211,00917431193;2017;"Amsterdam"
"138";1750;55;"apartment";"ingeschreven_natuurlijk_persoon";1884;456000;"furnished";"";164000;2963,63636363636;2005;"Amsterdam"
"139";2850;170;"house";"ingeschreven_natuurlijk_persoon";2004;650000;"upholstered";"A";435000;2335,16483516484;2016;"Eindhoven"
"140";1495;92;"apartment";"kadaster_natuurlijk_persoon";2001;340000;"upholstered";"B";275000;3083,33333333333;2006;"Hilversum"
"141";540;27;"apartment";"ingeschreven_niet_natuurlijk_persoon";1909;NA;"upholstered";"B";29041,8;1151,07913669065;2008;"Den Haag"
"142";1495;66;"apartment";"ingeschreven_natuurlijk_persoon";2009;311000;"furnished";"A";213000;3307,69230769231;2016;"Rotterdam"
"143";1895;74;"apartment";"ingeschreven_natuurlijk_persoon";1961;357000;"furnished";"";170168;2233,33333333333;2012;"Amstelveen"
"144";1650;117;"apartment";"ingeschreven_natuurlijk_persoon";1987;406000;"furnished or upholstered";"";325000;2708,33333333333;2020;"Hilversum"
"145";1295;90;"house";"ingeschreven_natuurlijk_persoon";1850;318000;"furnished";"";95294;1130,68181818182;2004;"Amsterdam"
"146";1595;84;"house";"ingeschreven_natuurlijk_persoon";1931;407000;"upholstered";"A";215416,666666667;2529,41176470588;2019;"Utrechtse Heuvelrug"
"147";995;42;"apartment";"ingeschreven_natuurlijk_persoon";2016;225000;"furnished";"";10294,46461;156,735910135135;2005;"Rotterdam"
"148";1395;83;"apartment";"ingeschreven_niet_natuurlijk_persoon";1924;NA;"unknown";"B";223500;2549,01960823529;2021;"Den Haag"
"149";1495;63;"apartment";"ingeschreven_natuurlijk_persoon";1957;280000;"furnished";"G";307500;5250;2022;"Rotterdam"
"150";1850;75;"apartment";"ingeschreven_niet_natuurlijk_persoon";2006;NA;"furnished";"B";76899,72777;961,240506329114;1988;"Rotterdam"
"151";1750;80;"apartment";"ingeschreven_natuurlijk_persoon";1938;236000;"furnished";"";130000;1593,75;2019;"Rotterdam"
"152";950;40;"apartment";"kadaster_niet_natuurlijk_persoon";1910;NA;"upholstered";"B";387500;8928,57142857143;2018;"Eindhoven"
"153";1350;60;"apartment";"ingeschreven_natuurlijk_persoon";1951;340000;"furnished";"E";310000;5270,83333333333;2020;"Den Haag"
"154";1295;130;"apartment";"ingeschreven_natuurlijk_persoon";1905;172000;"upholstered";"";64855,26316;554,317325153846;2014;"Dordrecht"
"155";2150;124;"apartment";"ingeschreven_natuurlijk_persoon";2005;648000;"furnished";"";447500;4025,86206896552;2015;"Den Haag"
"156";1100;38;"apartment";"ingeschreven_niet_natuurlijk_persoon";1900;204000;"furnished";"F";158125;3918,91891891892;2007;"Den Haag"
"157";1075;65;"apartment";"ingeschreven_niet_natuurlijk_persoon";1870;NA;"furnished";"A";11323,95644;225,015619836066;2015;"Den Haag"
"158";1150;100;"house";"ingeschreven_natuurlijk_persoon";1980;228000;"shell";"";102500;1042,37288135593;2002;"Nijmegen"
"159";2750;72;"apartment";"ingeschreven_natuurlijk_persoon";1982;779000;"furnished";"";411350;6150,44247787611;2019;"Amsterdam"
"160";1495;75;"apartment";"ingeschreven_natuurlijk_persoon";1937;274000;"furnished or upholstered";"D";123250;1600;2013;"Den Haag"
"161";1695;95;"apartment";"ingeschreven_natuurlijk_persoon";1934;358000;"upholstered";"D";236000;2460,52631578947;2016;"Rotterdam"
"162";1475;55;"apartment";"ingeschreven_natuurlijk_persoon";1975;305000;"upholstered";"B";162739,726027397;2980,76923076923;2005;"Amsterdam"
"163";1560;50;"apartment";"ingeschreven_natuurlijk_persoon";1910;349000;"upholstered";"";380000;7884,61538461538;2022;"Amsterdam"
"164";2100;100;"apartment";"ingeschreven_natuurlijk_persoon";1885;805000;"furnished";"G";875000;8320;2017;"Amsterdam"
"165";1050;87;"apartment";"";1981;NA;"shell";"D";142500;1593,40659340659;2018;"Maastricht"
"166";2750;162;"house";"ingeschreven_natuurlijk_persoon";1923;1136000;"furnished";"D";686018,041237113;4142,85714285714;2021;"Rotterdam"
"167";1525;85;"apartment";"ingeschreven_natuurlijk_persoon";2001;302000;"furnished";"";168000;2012,19512195122;2016;"Den Haag"
"168";1295;150;"house";"ingeschreven_natuurlijk_persoon";1971;333000;"upholstered";"D";90300;548,342541436464;1999;"Utrechtse Heuvelrug"
"169";1300;63;"apartment";"ingeschreven_natuurlijk_persoon";1964;265000;"furnished or upholstered";"E";256000;4046,875;2020;"Tilburg"
"170";975;62;"apartment";"ingeschreven_natuurlijk_persoon";1928;145000;"unknown";"A";131000;2096,77419354839;2019;"Den Haag"
"171";1450;100;"apartment";"ingeschreven_natuurlijk_persoon";1999;431000;"furnished";"B";248299,319727891;2450;2018;"Almere"
"172";1300;58;"apartment";"ingeschreven_niet_natuurlijk_persoon";2019;NA;"upholstered";"A";750000;13368,05555625;2021;"Eindhoven"
"173";1250;70;"apartment";"";1905;NA;"furnished";"";63000;942,307692307692;2001;"Rotterdam"
"174";1500;95;"apartment";"ingeschreven_natuurlijk_persoon";1971;257000;"furnished or upholstered";"D";170000;1744,79166666667;2016;"Oegstgeest"
"175";1315;50;"apartment";"ingeschreven_natuurlijk_persoon";1930;494000;"shell";"";171470,588235294;3431,37254901961;2019;"Delft"
"176";2750;130;"apartment";"ingeschreven_niet_natuurlijk_persoon";2004;NA;"furnished";"A";350650;2711,37593984962;2010;"Amstelveen"
"177";795;57;"apartment";"ingeschreven_natuurlijk_persoon";1948;235000;"upholstered";"";65000;1016,94915254237;2017;"Groningen"
"178";1850;70;"apartment";"ingeschreven_natuurlijk_persoon";1991;315000;"furnished";"";239459;3428,57142857143;2017;"Amstelveen"
"179";4500;150;"apartment";"ingeschreven_natuurlijk_persoon";2022;1285000;"furnished";"A+++";1278500;9189,18918918919;2017;"Amsterdam"
"180";1400;50;"apartment";"ingeschreven_niet_natuurlijk_persoon";1984;NA;"furnished";"";156500;3100;2015;"Haarlemmermeer"
"181";435;30;"apartment";"ingeschreven_natuurlijk_persoon";1890;969000;"shell";"D";674,284525588933;23,2511905375494;1995;"Bergen op Zoom"
"182";1451;100;"house";"ingeschreven_natuurlijk_persoon";1978;310000;"furnished";"C";275000;2650;2019;"Gouda"
"183";1500;59;"apartment";"ingeschreven_natuurlijk_persoon";1952;405000;"furnished";"C";241000;4058,33333333333;2022;"Rotterdam"
"184";1600;50;"apartment";"ingeschreven_natuurlijk_persoon";1926;458000;"furnished";"D";46119,32849;892,213541666667;2004;"Amsterdam"
"185";781;80;"apartment";"ingeschreven_natuurlijk_persoon";1964;188000;"unknown";"";80000;1012,5;2016;"Sittard-Geleen"
"186";1795;102;"apartment";"ingeschreven_natuurlijk_persoon";1969;468000;"furnished";"";242332;2245,28301886792;2016;"Amsterdam"
"187";900;81;"apartment";"ingeschreven_natuurlijk_persoon";1913;450000;"shell";"B";159700,934579439;1981,175;2015;"Groningen"
"188";1245;76;"apartment";"ingeschreven_natuurlijk_persoon";1961;275000;"furnished or upholstered";"E";156645,569620253;2106,66666666667;2016;"Den Haag"
"189";1195;62;"apartment";"ingeschreven_natuurlijk_persoon";1954;282000;"furnished";"";161000;2500;2020;"Rotterdam"
"190";1050;56;"apartment";"ingeschreven_natuurlijk_persoon";1929;218000;"upholstered";"C";186801,801801802;3220,72072072072;2022;"Den Haag"
"191";3250;150;"apartment";"ingeschreven_natuurlijk_persoon";1807;820000;"upholstered";"";77826,22505;235,383450082645;1998;"Amsterdam"
"192";1150;80;"house";"ingeschreven_natuurlijk_persoon";1926;234000;"upholstered";"F";124500;1587,5;2018;"Den Helder"
"193";895;78;"house";"ingeschreven_natuurlijk_persoon";1910;198000;"furnished";"E";136927,625;1866,66666666667;2021;"Velsen"
"194";1350;102;"house";"ingeschreven_natuurlijk_persoon";1932;172000;"upholstered";"F";74375;755,594417961165;2011;"Den Haag"
"195";1075;82;"apartment";"ingeschreven_natuurlijk_persoon";1978;234000;"upholstered";"B";112451,612903226;1376,47058823529;2004;"Eindhoven"
"196";1295;60;"apartment";"ingeschreven_natuurlijk_persoon";1976;270000;"furnished";"C";130833,333333333;2095,75;2014;"Eindhoven"
"197";1500;69;"apartment";"ingeschreven_natuurlijk_persoon";1955;433000;"furnished or upholstered";"C";215000;3260,86956521739;2008;"Amsterdam"
"198";1125;64;"apartment";"ingeschreven_natuurlijk_persoon";1907;284000;"upholstered";"C";58000;937,5;2020;"Deventer"
"199";1175;60;"apartment";"ingeschreven_natuurlijk_persoon";1954;194000;"upholstered";"B";105000;1750;2000;"Rotterdam"
